-20.000000: a: -0.000167, b: -0.000000, amp: 0.000167, phase: -180.000000
15.250000: a: -0.000167, b: -0.035750, amp: 0.035750, phase: -90.267112
15.300000: a: -0.000167, b: -0.033168, amp: 0.033168, phase: -90.287904
15.350000: a: -0.000167, b: -0.030300, amp: 0.030300, phase: -90.315159
15.400000: a: -0.000167, b: -0.027215, amp: 0.027216, phase: -90.350877
15.450000: a: -0.000167, b: -0.023990, amp: 0.023991, phase: -90.398044
15.500000: a: -0.000167, b: -0.020703, amp: 0.020703, phase: -90.461247
15.550000: a: -0.000167, b: -0.017432, amp: 0.017433, phase: -90.547771
15.600000: a: -0.000167, b: -0.014258, amp: 0.014259, phase: -90.669736
15.650000: a: -0.000167, b: -0.011254, amp: 0.011255, phase: -90.848467
15.700000: a: -0.000167, b: -0.008492, amp: 0.008494, phase: -91.124322
15.750000: a: -0.000167, b: -0.006037, amp: 0.006040, phase: -91.581323
15.800000: a: -0.000167, b: -0.003946, amp: 0.003949, phase: -92.418835
15.850000: a: -0.000167, b: -0.002265, amp: 0.002271, phase: -94.209288
15.900000: a: -0.000167, b: -0.001031, amp: 0.001045, phase: -99.179873
15.950000: a: -0.000167, b: -0.000272, amp: 0.000319, phase: -121.519004
16.000000: a: -0.000167, b: -0.000000, amp: 0.000167, phase: -180.000000
16.050000: a: -0.000167, b: -0.000218, amp: 0.000274, phase: -127.386524
16.100000: a: -0.000167, b: -0.000916, amp: 0.000931, phase: -100.310544
16.150000: a: -0.000167, b: -0.002073, amp: 0.002079, phase: -94.597614
16.200000: a: -0.000167, b: -0.003655, amp: 0.003658, phase: -92.611133
16.250000: a: -0.000167, b: -0.005619, amp: 0.005622, phase: -91.698838
16.300000: a: -0.000167, b: -0.007915, amp: 0.007917, phase: -91.206305
16.350000: a: -0.000167, b: -0.010481, amp: 0.010483, phase: -90.910987
16.400000: a: -0.000167, b: -0.013253, amp: 0.013254, phase: -90.720507
16.450000: a: -0.000167, b: -0.016159, amp: 0.016159, phase: -90.590956
16.500000: a: -0.000167, b: -0.019125, amp: 0.019126, phase: -90.499301
16.550000: a: -0.000167, b: -0.022077, amp: 0.022078, phase: -90.432530
16.600000: a: -0.000167, b: -0.024942, amp: 0.024943, phase: -90.382850
16.650000: a: -0.000167, b: -0.027648, amp: 0.027649, phase: -90.345378
16.700000: a: -0.000167, b: -0.030129, amp: 0.030130, phase: -90.316943
16.750000: a: -0.000167, b: -0.032323, amp: 0.032324, phase: -90.295428
16.800000: a: -0.000167, b: -0.034178, amp: 0.034178, phase: -90.279401
16.850000: a: -0.000167, b: -0.035647, amp: 0.035647, phase: -90.267883
16.900000: a: -0.000167, b: -0.036696, amp: 0.036697, phase: -90.260222
16.950000: a: -0.000167, b: -0.037301, amp: 0.037302, phase: -90.256002
17.000000: a: -0.000167, b: -0.037448, amp: 0.037449, phase: -90.254998
17.050000: a: -0.000167, b: -0.037135, amp: 0.037135, phase: -90.257152
17.100000: a: -0.000167, b: -0.036370, amp: 0.036370, phase: -90.262560
17.150000: a: -0.000167, b: -0.035173, amp: 0.035174, phase: -90.271490
17.200000: a: -0.000167, b: -0.033576, amp: 0.033577, phase: -90.284403
17.250000: a: -0.000167, b: -0.031619, amp: 0.031619, phase: -90.302012
17.300000: a: -0.000167, b: -0.029349, amp: 0.029350, phase: -90.325365
17.350000: a: -0.000167, b: -0.026824, amp: 0.026824, phase: -90.355994
17.400000: a: -0.000167, b: -0.024105, amp: 0.024106, phase: -90.396144
17.450000: a: -0.000167, b: -0.021259, amp: 0.021260, phase: -90.449170
17.500000: a: -0.000167, b: -0.018356, amp: 0.018357, phase: -90.520219
17.550000: a: -0.000167, b: -0.015465, amp: 0.015466, phase: -90.617469
17.600000: a: -0.000167, b: -0.012655, amp: 0.012657, phase: -90.754514
17.650000: a: -0.000167, b: -0.009996, amp: 0.009997, phase: -90.955267
17.700000: a: -0.000167, b: -0.007548, amp: 0.007550, phase: -91.264946
17.750000: a: -0.000167, b: -0.005370, amp: 0.005373, phase: -91.777601
17.800000: a: -0.000167, b: -0.003513, amp: 0.003517, phase: -92.716058
17.850000: a: -0.000167, b: -0.002019, amp: 0.002026, phase: -94.718342
17.900000: a: -0.000167, b: -0.000922, amp: 0.000937, phase: -100.248148
17.950000: a: -0.000167, b: -0.000244, amp: 0.000296, phase: -124.292075
18.000000: a: -0.000167, b: 0.000000, amp: 0.000167, phase: 180.000000
18.050000: a: -0.000167, b: -0.000191, amp: 0.000254, phase: -131.101657
18.100000: a: -0.000167, b: -0.000809, amp: 0.000826, phase: -101.637796
18.150000: a: -0.000167, b: -0.001836, amp: 0.001843, phase: -95.187393
18.200000: a: -0.000167, b: -0.003242, amp: 0.003247, phase: -92.942684
18.250000: a: -0.000167, b: -0.004991, amp: 0.004993, phase: -91.912713
18.300000: a: -0.000167, b: -0.007035, amp: 0.007037, phase: -91.357102
18.350000: a: -0.000167, b: -0.009323, amp: 0.009324, phase: -91.024175
18.400000: a: -0.000167, b: -0.011795, amp: 0.011796, phase: -90.809544
18.450000: a: -0.000167, b: -0.014389, amp: 0.014390, phase: -90.663620
18.500000: a: -0.000167, b: -0.017039, amp: 0.017040, phase: -90.560411
18.550000: a: -0.000167, b: -0.019679, amp: 0.019680, phase: -90.485234
18.600000: a: -0.000167, b: -0.022243, amp: 0.022244, phase: -90.429304
18.650000: a: -0.000167, b: -0.024668, amp: 0.024668, phase: -90.387114
18.700000: a: -0.000167, b: -0.026892, amp: 0.026893, phase: -90.355089
18.750000: a: -0.000167, b: -0.028863, amp: 0.028863, phase: -90.330847
18.800000: a: -0.000167, b: -0.030531, amp: 0.030532, phase: -90.312769
18.850000: a: -0.000167, b: -0.031857, amp: 0.031857, phase: -90.299755
18.900000: a: -0.000167, b: -0.032808, amp: 0.032808, phase: -90.291065
18.950000: a: -0.000167, b: -0.033362, amp: 0.033362, phase: -90.286232
19.000000: a: -0.000167, b: -0.033506, amp: 0.033507, phase: -90.284998
19.050000: a: -0.000167, b: -0.033239, amp: 0.033239, phase: -90.287292
19.100000: a: -0.000167, b: -0.032567, amp: 0.032567, phase: -90.293220
19.150000: a: -0.000167, b: -0.031508, amp: 0.031508, phase: -90.303074
19.200000: a: -0.000167, b: -0.030089, amp: 0.030089, phase: -90.317365
19.250000: a: -0.000167, b: -0.028346, amp: 0.028346, phase: -90.336881
19.300000: a: -0.000167, b: -0.026322, amp: 0.026322, phase: -90.362786
19.350000: a: -0.000167, b: -0.024067, amp: 0.024067, phase: -90.396776
19.400000: a: -0.000167, b: -0.021637, amp: 0.021637, phase: -90.441342
19.450000: a: -0.000167, b: -0.019090, amp: 0.019091, phase: -90.500205
19.500000: a: -0.000167, b: -0.016490, amp: 0.016491, phase: -90.579068
19.550000: a: -0.000167, b: -0.013899, amp: 0.013900, phase: -90.686996
19.600000: a: -0.000167, b: -0.011380, amp: 0.011382, phase: -90.839049
19.650000: a: -0.000167, b: -0.008993, amp: 0.008995, phase: -91.061702
19.700000: a: -0.000167, b: -0.006795, amp: 0.006797, phase: -91.404989
19.750000: a: -0.000167, b: -0.004838, amp: 0.004841, phase: -91.972868
19.800000: a: -0.000167, b: -0.003168, amp: 0.003173, phase: -93.011279
19.850000: a: -0.000167, b: -0.001823, amp: 0.001831, phase: -95.222404
19.900000: a: -0.000167, b: -0.000834, amp: 0.000851, phase: -101.296150
19.950000: a: -0.000167, b: -0.000223, amp: 0.000278, phase: -126.834355
